序号	英文	中文
31160	estray	"n.迷失的人,迷失的家畜vi.<古>迷路"
31161	estreat	"n.审判记录之抄本vt.摘抄,征收"
31162	estrepe	"v.做不必要的破坏,浪费"
31163	estrepement	"n.滥垦,使土地枯竭"
31164	estrin	n.[生化]雌(甾)酮 雌激素
31165	estriol	n.[生化]雌激素三醇
31166	estrogen	n.[生化]雌激素
31167	estrogenic	"adj.雌激素的,动情激素的"
31168	estrogenicity	n.(雌性动物的)动情性 动情力
31169	estron	n.埃斯特纶(醋酯长丝的商标名)
31170	estrone	n.[生化]雌激素酮
31171	estrous	"adj.(雌性动物的)动情期的,求偶期的,有发情期特征的,(雌性动物的)性欲冲动的"
31172	estrual	adj.=estrous
31173	estrum	"n.[动]动情期,动情周期"
31174	estrus	"n.[动]动情期,动情周期"
31175	estuarial	adj.港湾(或河口湾等)的
31176	estuarine	"adj.河口的,江口的"
31177	estuary	"n.河口,江口"
31178	esu	electrostatic unit(s)
31179	esurience	"n.贪心,贪婪"
31180	esurient	" 贪吃者,贪婪的"
31181	esv	earth satellite vehicle人造地球卫星
31182	et	" [域] Ethiopia ,埃塞俄比亚"
31183	eta	n.希腊语字母的第七字
31184	etaerio	n.[植]聚心皮果(如草莓)
31185	etagere	"n.<法>(放置古玩,小摆设等的)架子"
31186	etalon	n.[物]标准具(其上有两面可调节的平行反射镜)
31187	etape	"n.兵站,宿营地"
31188	etatism	n.国家社会主义
31189	etc	"adv.<拉>及其他,等等"
31190	etcaeteras	"n.其余,等等之人或物"
31191	etcetera	"n.附加的人,附加物,以及其它,等等"
31192	etceteras	"n.其余,等等之物(人们)"
31193	etch	v.蚀刻
31194	etchant	"n.(用于金属,玻璃等的)蚀刻剂"
31195	etcher	"n.蚀刻师,腐蚀铜版制作者"
31196	etching	"n.蚀刻版画,蚀刻术,铜版画"
31197	etd	estimated time of departure  预定出发时间
31198	eteocles	"n.[希神]厄特俄克勒斯(Oedipus之子,被其弟Polynices所杀)"
31199	etep	"Electronic Trading Efficiency Progrom,电子贸易系统"
31200	eternal	"adj.永恒的,永远的,不灭的,没完没了的"
31201	eternalize	"v.使永恒,使不灭"
31202	eternally	"adv.永恒地,常常"
31203	eterne	adj.<古><诗>=eternal
31204	eternise	vt.<主英>=eternize
31205	eternity	"n.永远,来世,不朽,来世,来生"
31206	eternize	"vt.使永恒,使不朽"
31207	etesian	"adj.每年发生的,季节风的"
31208	eth	n.=edh
31209	ethal	"n.[化]二十六醇,虫蜡醇"
31210	ethambutol	n.[药]乙胺丁醇(一种抗结核药)
31211	ethamivan	n.[药]香草酸二乙酰胺(一种呼吸兴奋药)
31212	ethan	n.伊桑(m.)
31213	ethanamide	n.[化]乙醯胺
31214	ethane	n.[化]乙烷
31215	ethanethiol	n.[化]乙硫醇
31216	ethanol	"n.乙醇,酒精"
31217	ethanolamine	"n.[化]乙醇胺,氨基乙醇,胆胺"
31218	ethelind	n.埃塞琳德(f.)
31219	ethelred	n.埃塞雷德(m.)
31220	ethene	n.[化]乙烯
31221	etheogenesis	"n.[生]孤雄生殖,雄体单性生殖"
31222	ethephon	"n.[化]乙烯利,乙烯磷(一种植物生长调节剂)"
31223	ether	"n.天空醚,大气,苍天,[物]以太"
31224	ethereal	"adj.轻的,天上的,象空气的"
31225	ethereality	"n.如醚的性质,灵妙,轻妙"
31226	etherealization	"n.气化,醚化"
31227	etherealize	"vt.使脱俗,灵化,使灵妙,化成醚"
31228	ethereally	"adv.轻飘地,幽雅地,空气一般地"
31229	etherial	"adj.(=ethereal) 轻飘的,空气般的"
31230	etherialize	vt.=etherealize
31231	etherify	vt.使化为醚
31232	etherization	"n.醚麻醉,化为醚"
31233	etherize	"vt.<美>[医]以醚麻醉,化成为醚"
31234	ethernet	n.以太网
31235	ethic	"n.道德规范,伦理"
31236	ethical	"adj.与伦理有关,民族的,民族特有的"
31237	ethically	adv.伦理(学)上
31238	ethicals	n.凭处方出售的药品
31239	ethicize	"v.使伦理化,使变得道德"
31240	ethics	"n.偶尔,道德规范"
31241	ethidium	" [化]溴乙非啶,溴化二氨乙苯啡啶"
31242	ethine	n.[化]乙炔
31243	ethinyl	n.=ethynyl
31244	ethion	n.[化]乙硫磷(用作杀虫剂)
31245	ethionamide	n.[药]乙硫异烟胺(一种抗结核药)
31246	ethionine	n.[化]乙硫氨基酪酸
31247	ethiop	n.(=Ethiopian)阿比西尼亚人adj.(=Ethiopian)阿比西尼亚的
31248	ethiopia	n.埃塞俄比亚(非洲东部国家)
31249	ethiopian	"adj.埃塞俄比亚的,黑人的n.埃塞俄比亚人,黑人"
31250	ethiopic	adj.埃塞俄比亚的n.埃塞俄比亚语
31251	ethisterone	"n.[生化]脱水羟基孕酮,孕烯炔醇酮,乙炔基睾丸酮"
31252	ethlyn	n.埃塞琳(Ethelind的异体)(f.)
31253	ethmoid	adj.筛骨的n.[解]筛骨
31254	ethnarch	n.民族.部落.殖民地等的统治者
31255	ethnarchy	"n.总督的职位,总督的身份"
31256	ethnic	"adj.人种的,种族的,异教徒的"
31257	ethnical	"adj.人种的,种族(特有)"
31258	ethnically	"adv.人种上,民族上"
31259	ethnicity	n.种族划分
31260	ethnics	"n.伦理学,人种学"
31261	ethnoarchaeology	"n.种族文化考古学,文化群落考古学"
31262	ethnobiology	n.人种生物学(一门研究原始人类社会与其环境的动植物间关系的学科)
31263	ethnobotanical	adj.民族植物学的
31264	ethnobotanist	n.民族植物学
31265	ethnobotany	n.人类植物学
31266	ethnocentrism	n.民族优越感
31267	ethnocide	n.种族文化灭绝(指对某一种族集团文化的肆意破坏)
31268	ethnocracy	n.一族统治
31269	ethnogenesis	n.人种形成 种族进化
31270	ethnogeny	"n.民族起源学,人种学"
31271	ethnographer	"n.民族志学者,人种学者"
31272	ethnography	"n.民族志学,人种学,人种志"
31273	ethnohistorian	n.人种史学
31274	ethnohistoric	adj.人种史学的
31275	ethnohistorical	 /adv.人种史_Ll/adj.人种史学的У
31276	ethnohistory	n.人种史学
31277	ethnolinguistics	n.民族语言学
31278	ethnologic	"adj.民族的,人种学的"
31279	ethnological	"adj.民族的,人种学的"
31280	ethnologist	"n.民族学者,人种学者"
31281	ethnology	"n.人种学,人类文化学"
31282	ethnomethodology	n.民族方法学(社会学的一分支学科)
31283	ethnomusicological	 /adv.人种ist//n.人种音乐学/y/`eWnEJ9mjU:zI`zIkE`lCdVIkLl/ad音乐学地
31284	ethnomycology	n.民族真菌学(研究各社会中对致幻蘑菇及其他真菌的使用)
31285	ethnopsychology	n.民族心理学
31286	ethnos	n.(=ethnic group)同种同文化之民族
31287	ethogram	n.(动物)行为详述
31288	ethology	"n.动物行动学,道德体系学"
31289	ethos	"n.气质,道义,民族精神,社会思潮,风气"
31290	ethosuximide	n.[药]乙琥胺(一种抗癫痫药)
31291	ethoxy	adj.[化]乙氧基的 含乙氧基的
31292	ethoxyl	"n.[化]乙氧基,羟乙基"
31293	ethyl	"n.[化]乙荃,乙烷基"
31294	ethylamine	n.[化]乙胺
31295	ethylate	n.[化]乙醇盐v.[化]使引入乙基类
31296	ethylation	n.[化]乙醇盐
31297	ethylene	"n.[化]乙烯,乙烯基"
31298	ethylic	adj.乙基属的
31299	ethylidene	 diethyl ether[化]乙缩醛
31300	ethyne	n.[化]乙炔
31301	ethynyl	n.[化]乙炔基
31302	etic	"adj.[语]非位的,素的,语音学的"
31303	etiocholanolone	"n.[生化]本胆烷醇酮,还原尿睾酮"
31304	etiolate	"vt.使变青白,使变苍白"
31305	etiolation	"n.青白化,苍白化,黄化"
31306	etiology	"n.[医]病因学,病源论"
31307	etiquette	n.礼节
31308	etna	n.酒精灯煮水器
31309	eto	European Theatre of Operations(第二次世界大战时的)欧洲战区
31310	eton	"n.伊顿(在伦敦附近的白金汉郡.泰晤士河边的一个市镇,伊顿公学所在地)"
31311	etonian	adj.伊顿公学的 伊顿公学般的
31312	etorofu	 择捉岛(日本北方四岛之一)
31313	etorphine	"n.[药]埃托啡,羟戊甲吗啡(一种镇痛药)"
31314	etr	"External Transfer Rate,外部数据传输速率"
31315	etrog	n.依特劳格金像奖(截止1979年加拿大的电影年度奖)
31316	etruria	n.埃特鲁斯坎(意大利中部的古国)
31317	etruscan	"adj.(意大利中西部古国)伊特鲁里亚的,伊特鲁里亚人的n.伊特鲁里亚人"
31318	etruscologist	n.伊特鲁里亚文化研究者
31319	etruscology	n.伊特鲁里亚学
31320	etta	"n.埃特(女子名,Henrietta 的昵称)"
31321	ettu	" <拉>原来还有你啊,布鲁特斯!"
31322	etu	Electrical Trades Union(英国)电气工会
31323	etude	n.练习曲
31324	etui	n.小盒子
31325	etwee	"n.小匣,小箱"
31326	etyma	" 词根,词源"
31327	etymologic	"adj.语源的,语源学的"
31328	etymological	"adj.语源的,根据语源学的"
31329	etymologicon	n.词源词典
31330	etymologist	n.语源学
31331	etymologize	"v.探溯语源,指示语源"
31332	etymology	"n.语源,语源学"
31333	etymon	"n.字的原形,词源,字根"
31334	etypic	adj.由某种形态转变的
31335	eubacterium	n.[微]真细菌
31336	eucaine	n.优卡因(成药名)
31337	eucalypt	n.[植]桉树
31338	eucalypti	 [植]桉树
31339	eucalyptol	"n.[化]桉树脑,桉油精"
31340	eucalyptole	"n.[化]桉树脑,桉油精"
31341	eucalyptus	n.[植]桉树
31342	eucalytus	n.桉树
31343	eucaryote	n.[生]真核细胞 真核生物
31344	eucharis	n.油加律属植物
31345	eucharist	"n.[宗]圣餐,(经过祝圣的)圣餐面包(及酒)"
31346	eucharistic	"adj.圣餐的,圣体的"
31347	euchlorine	n.氯氧融合气体
31348	euchre	"n.一种纸牌玩法vt.以该玩法趁对方疏忽时打嬴,打败,欺骗"
31349	euchromatin	n.[生]常染色质(染色体的一部分)
31350	euchromosome	n.常染色体
31351	euciliate	n.&adj.[动]真纤毛亚纲的纤毛原生动物(的)
31352	euclase	n.[矿]蓝柱石
31353	euclid	n.欧几里得(约公元前3世纪的古希腊数学家)
31354	euclidean	" a(古希腊数学家).欧几里得的,欧几里得几何学的"
31355	euclidian	"adj.(古希腊数学家)欧几里得的,欧几里得几何学的"
31356	eucolloid	n.[化]真胶体(颗粒直径大于0.25微米的胶体)
31357	eucyclic	adj.[植](花)同基数轮列的(指由每轮成员数相同的连续几轮组成的)
31358	eudaemon	n.=eudemon
31359	eudaemonia	"n.幸福,因理性而积极生活所带来的幸福"
31360	eudaemonic	"adj.幸福的,幸福学的"
31361	eudaemonics	"n.幸福学,获得幸福的方法"
31362	eudaemonism	"n.幸福说,快乐说"
31363	eudaimonism	n.=eudemonism
31364	eudemon	"n.善良的精灵,守护神"
31365	eudemonia	"n.幸福,因理性而积极生活所带来的幸福"
31366	eudemonic	"adj.幸福的,幸福学的"
31367	eudemonics	"n.幸福学,获得幸福之方法"
31368	eudemonism	"n.幸福说,快乐说"
31369	eudiometer	n.测气管
31370	eudiometric	"adj.[化]量气管的,空气纯度(或含氧量)测定管的"
31371	eudiometrical	"adj.[化]量气管的,空气纯度(或含氧量)测定管的"
31372	eudiometry	"n.[化]气体检验法,空气纯度测定法"
31373	eudipleural	"adj.两部对应的,左右对称的"
31374	eudora	"n.[计] 一种电子邮件软件,由Qualcomm公司出品"
31375	eugene	"n.尤金,男子名"
31376	eugenesis	n.生育力
31377	eugenia	n.尤金妮亚(女子名)
31378	eugenic	"adj.优生的,优生学的"
31379	eugenicist	"n.优生学家,提倡人种改良者"
31380	eugenics	n.优生学
31381	eugenist	n.优生学家
31382	eugenol	n.[化]丁子香酚
31383	eugeosyncline	n.[地]优地槽
31384	euglena	n.[动]眼虫属
31385	euglenid	"n.[动]眼虫,(单细胞)鞭毛虫"
31386	euglenoid	"n.&adj.[生]眼虫(的),眼虫藻(的),裸藻(的)"
31387	euglobulin	"n.[生化]优球蛋白,真球蛋白"
31388	eugonic	"adj.(细菌)繁殖良好的,生长旺盛的"
31389	euhedral	adj.[矿]自形的
31390	euhemerism	n.神话即历史论的论点
31391	euhemerist	n.神话即历史论者
31392	euhemeristic	adj.神话即历史论的
31393	euhemeristically	adv.神话即历史论地
31394	euhemerize	v.以神话即历史的观点解释(神话等)
31395	euhemerus	" 犹希迈罗斯(公元前3世纪,古希腊神话作家)"
31396	euhominid	n.[人类学]真正人员的一员
31397	eulachon	n.<美>[鱼]太平洋细齿鲑
31398	eulalie	n.尤拉莉亚(f.)
31399	eulamellibranch	n.真瓣鳃目动物
31400	eulogia	" 颂德文,颂扬,圣餐"
31401	eulogise	vt.<主英>=eulogize
31402	eulogist	"n.赞颂者,称赞者"
31403	eulogistic	"adj.颂扬的,歌功颂德"
31404	eulogistical	adj.颂词的
31405	eulogium	"n.颂文,颂德"
31406	eulogize	"vt.称赞,颂扬"
31407	eulogy	"n.赞词,颂词,歌功颂德的话"
31408	eumaeus	n.[希神]欧迈俄斯
31409	eumenides	[复]n.[希神] [罗神] 欧墨尼得斯(即 Erinyes 或Furies)
31410	eumitosis	n.[生]常有丝分裂
31411	eumorphic	"adj.(具有)体育型体质的,(具有)中胚层体型的"
31412	eumycete	n.真菌
31413	eunomia	"n.[希神]欧诺弥亚(季节三女神之一,意为良好秩序) n.=eunomy"
31414	eunomian	n.&adj.优诺米派成员(的)
31415	eunomianism	"n.优诺米主义,极端阿里乌主义(公元4 世纪基督教神学家优诺米"
31416	eunomic	"adj.守法的 (社会秩序)良好的,井井有条的"
31417	eunomy	n.秩序良好
31418	eunuch	"n.太监,宦官"
31419	eunuchism	n.[医]阉人状态(无睾丸之男性)
31420	eunuchize	v.阉割
31421	eunuchoid	"n.似阉人adj.似阉人的,惧内的"
31422	eunuchoidism	n.似阉人状态
31423	euonymus	"n.[植]卫矛,卫矛属"
31424	eupatorium	n.泽兰属植物
31425	eupatrid	"n.世袭贵族,贵族adj.世袭贵族的"
31426	eupepsia	n.消化良好
31427	eupepticity	"n.消化良好的感觉,消化良好的状态"
31428	euphausiacean	n.磷虾目浮游甲壳动物
31429	euphausid	"n.&adj.磷虾目浮游甲壳动物(的),磷虾(的)"
31430	euphausiid	"n.&adj.磷虾目浮游甲壳动物(的),磷虾(的)"
31431	euphemia	n.尤菲米娅(f.)
31432	euphemious	adj.=euphemistic
31433	euphemise	v.<主英>=euphemize
31434	euphemism	n.[语法]委婉的说法
31435	euphemist	n.用委婉语法的人
31436	euphemistic	adj.委婉的
31437	euphemistical	"adj.婉转的,委婉说法的"
31438	euphemize	"v.委婉地说,用婉转的话说"
31439	euphenics	n.人种改良运动
31440	euphobia	n.(=spurge)佳音恐怖
31441	euphonic	"adj.语调好的,音调上的,好听的"
31442	euphonious	adj.悦耳
31443	euphonise	vt.<主英>=euphonize
31444	euphonize	"vt.美化语调,使声音悦耳"
31445	euphony	n.悦耳之音
31446	euphorbia	n.大戟属植物
31447	euphorbiaceous	"adj.大戟属植物的,大戟胶树脂"
31448	euphoria	"n.精神欢快.欣快,兴高采烈,[心]欣快症"
31449	euphoriant	n.[医]安乐药adj.使人欣快的
31450	euphorigenic	adj.令人欣快的
31451	euphory	n.=euphoria
31452	euphotic	adj.[海]透光层的
31453	euphrasy	n.小米草
31454	euphrates	n.幼发拉底河
31455	euphroe	n.[船]绳索收紧器
31456	euphrosyne	"n.[希神]欧佛洛绪涅(美惠三女神之一,意为欢乐)"
31457	euphuism	"n.夸饰文体,美丽辞句,华丽词藻"
31458	euphuist	"n.用浮华词句的人,用华丽的文体书写的人"
31459	euphuistic	adj.词藻华丽的
31460	euphuistical	adj.词藻华丽的
31461	euplastic	"adj.容易机化的,适于组织形成的"
31462	euploid	adj.[生理]整倍体的n.整倍体
31463	euploidy	n.[生]整倍性
31464	eupnea	"n.[医]呼吸正常,平静呼吸"
31465	eupneic	"adj.[医]呼吸正常的,平静呼吸的"
31466	eupotamic	adj.[生]在淡水中成长的
31467	eurafrican	"adj.欧洲和非洲的,欧非混血的n.欧非混血儿"
31468	eurailpass	n.(在西欧大陆用的)欧洲铁路旅行优惠票
31469	euramerican	adj.欧美的n.欧美混血儿
31470	eurasia	n.欧亚大陆
31471	eurasian	"adj.欧亚的,欧亚人的"
31472	eurasiatic	adj.=Eurasian
31473	euratom	n.欧洲原子能共同体
31474	eureka	int.找到了! 有了!
31475	eurhythmic	adj.音乐舞蹈体操的
31476	eurhythmics	"n.韵律舞蹈,韵律体操"
31477	euripides	n.欧里庇得斯(希腊的悲剧诗人)
31478	euripus	"n.急流海峡,潮急"
31479	eurithermophile	 `jJErI9W\:mE`Il/n.适广温细菌(fIlIk/adj.能在摄能在摄氏零下30度氏零下30度与60度与60度之间存活的之存活的
31480	euro	adj.=European  n.[动]岩大袋鼠[澳洲土著语]
31481	eurobank	n.欧洲银行
31482	eurobond	n.欧洲债券
31483	eurocapital	adj.欧洲资本的
31484	eurocentric	adj.<主英>以欧洲为中心的 主要与欧洲(或欧洲人)有关的
31485	eurocheque	n.<英>欧洲货币支票(一种在若干欧洲国家通用的信用卡)
31486	euroclear	n.欧洲银行票据交换所
31487	eurocrat	n.欧洲共同市场的官员或职员
31488	eurocredit	n.欧洲信贷
31489	eurocurrency	n.欧洲货币
31490	eurodollar	n.存于欧洲非美国银行的美金
31491	eurogroup	n.欧洲集团
31492	euroky	n.[生](生物的)广适性
31493	euromarket	n.(=Common Market)欧洲共同市场
31494	euromoney	n.欧洲货币
31495	euronet	n.欧洲计算机网
31496	europanet	欧罗巴网(Europa Net)
31497	europatent	n.(在欧洲大多数国家中有效的)欧洲发明专利
31498	europe	n.欧洲
31499	european	"adj.欧洲的,欧洲人的n.欧洲人"
31500	europeanise	vt.<主 英>=Europeanize
31501	europeanism	"n.欧洲主义,主张欧洲各国在政治上、经济上联合"
31502	europeanist	adj.欧洲经济共同体第一主义的
31503	europeanize	"vt.使欧化,使具有欧洲风格"
31504	europeanly	"adv.按欧洲方式(或方法),欧洲式地"
31505	europium	n.[化]铕
31506	europlug	n.[电](一种有挠性插脚因而能插入欧洲各国不同电插座的)欧式插头
31507	europocentric	adj.欧洲中心论的
31508	eurovision	n.欧洲电视网
31509	eurybath	n.(能在不同深度水底生存的)广深性水生生物
31510	eurybathic	adj.(水生生物)广深性的
31511	eurybenthic	adj.(水生生物)广深性的
31512	eurycephalic	adj.[解]阔头的
31513	eurychoric	adj.散布很广的
31514	eurydice	n.[希神]欧律狄刻
31515	eurygnathous	adj.上颔宽大的
31516	euryhaline	"adj.能在不同盐分之环境中存活的,广盐性的"
31517	euryhygric	adj.[生]广湿性的(指能够经受各种不同湿度的)
31518	euryoky	n.=euroky
31519	euryphage	n.[动]广食性(指能吃各种食物生存)
31520	euryphagous	adj.[动]广食性的(指能吃各种食物生存)
31521	eurypterid	n.[古生]广翅鲎
31522	eurystomatous	"adj.[动]阔嘴的,有可扩展的嘴的"
31523	eurytherm	n.[生]广温性生物
31524	eurythermal	adj.广温性的
31525	eurythmic	adj.和谐的
31526	eurythmics	 艺术体操
31527	eurythmy	n.=eurhythmy
31528	eurytopic	adj.[生]广适性的
31529	eurytopicity	n.[生]广适性
31530	eusocial	"adj.(昆虫)完全社会性的,完全群居的"
31531	eusol	n.[药]优苏
31532	eustace	n.尤斯塔斯(m.)
31533	eustacy	"n.海面升降,海面变化"
31534	eustatic	"adj.海面升降的,海面变化的"
31535	eustatically	"adv.海面升降地,海面变化地"
31536	eustele	n.[植]真中柱(存在于大多数裸子植物和被子植物的茎内)
31537	eustonian	n.=Euston Roader
31538	eutaxy	n.井然有序
31539	eutectic	"adj.最容易溶解的,在最低温度可融化的,共熔的n.共晶"
31540	eutectiferous	adj.[化]产生低共熔混合物的 低共熔混合物类型的
31541	eutectoid	"n.[化]类低共熔体adj.类低共熔体的,共析的"
31542	eutelegenesis	n.人工授精
31543	euterpe	n.司音乐及抒情诗的女神
31544	eutexia	n.易熔性
31545	euthanasia	n.安乐死
31546	euthanatize	vt.=euthanize
31547	euthanize	"vt.使安乐死,对...施无痛致死术"
31548	euthenics	"n.环境优生学,环境改善学"
31549	eutherian	adj.&n.[动]真哺乳亚纲的(动物)
31550	euthermic	adj.发热的
31551	euthyroid	adj.[医]甲状腺机能正常的
31552	eutocia	"n.安产,平产"
31553	eutomous	"adj.[矿]有明显解理的,容易解裂的,裂隙清楚的"
31554	eutopia	n.乌托邦
31555	eutrapelia	"n.机智,敏捷"
31556	eutrophic	"n.发育营养正常促进剂adj.富营养的,发育营养正常的"
31557	eutrophicate	"v.使超营养,藻类污染"
31558	eutrophication	n.超营养作用
31559	eutrophied	adj.超营养作用的
31560	eutrophy	"n.营养正常,由于矿物质的增加而适合动植物生长"
31561	eutropic	adj.向阳光性的
31562	eutychian	adj.优迪克主义的
31563	eutychianus	" 优迪基安努斯(即Eutychian,Saint)"
31564	euxenite	n.黑稀金矿
31565	euxine	 Sea=Black Sea
31566	eva	"n.伊娃,女子名;太空人在飞船外的活动,舱外活动"
31567	evacuant	"adj.[医]促进排泄的n.[药]排泄药,泻剂"
31568	evacuate	"v.疏散,撤出,排泄"
31569	evacuation	"n.撤退,走开"
31570	evacuator	"n.撤退的人,排除用具"
31571	evacuee	"n.撤离者,被疏散者"
31572	evadable	"adj.规避,托词,躲避"
31573	evade	"v.规避,逃避,躲避"
31574	evader	"n.逃避者,逃避物"
31575	evadible	adj.=evadable
31576	evadingly	adv.躲躲闪闪地 逃避地 推托地
31577	evaginable	"adj.(使)外翻的,翻转的"
31578	evaginate	v.[生物](使)外翻
31579	evagination	"n.外翻,外翻部份"
31580	evalina	n.伊夫林娜(Evelyn的异体)(f.)
31581	evaluable	"adj.可估值的,可评价的"
31582	evaluate	"vt.评价,估计,求...的值v.评价"
31583	evaluating	"vbl.评估,评价,评测"
31584	evaluation	"n.估价,评价,赋值"
31585	evaluative	adj.可估价的
31586	evaluator	 [计] 求值程序
31587	evan	n.埃文(m.)
31588	evanesce	"vi.逐渐看不见,消散"
31589	evanescence	"n.逐渐消失,容易消失,幻灭,瞬息"
31590	evanescent	"adj.渐消失的,易消散的,会凋零的"
31591	evangel	"n.福音(书),佳音"
31592	evangelic	"adj.福音的,福音传道的"
31593	evangelical	"n.信福音主义者adj.福音(书),新教会的"
31594	evangelicalism	"n.福音派的教义,福音,教义的信仰"
31595	evangelically	"adv.福音书地,合乎福音地"
31596	evangeline	"n.伊万杰琳,女子名"
31597	evangelise	v.<主英>=evangelize
31598	evangelism	"n.福音传道,福音主义,福音传道者的工作"
31599	evangelist	"n.圣经新约福音书的作者,福音传道者"
31600	evangelistic	"adj.福音书作者的,福音传道者的"
31601	evangelistically	"adv.福音传教士地,传道地"
31602	evangelization	"n.福音传道,基督教化"
31603	evangelize	"vt.传福音,使信基督教"
31604	evanish	"vi.消失,消灭"
31605	evanishment	"n.<书>消失,消散"
31606	evaporable	"adj.易蒸发性的,蒸发性的"
31607	evaporate	"v.(使)蒸发,消失"
31608	evaporation	n.蒸发(作用)
31609	evaporative	"adj.成为蒸气的,蒸发的"
31610	evaporator	"n.蒸发器,脱水器"
31611	evaporimeter	n.蒸发计
31612	evaporite	"n.[地]蒸发岩,蒸发盐"
31613	evaporograph	n.[物]蒸发成像仪
31614	evapotranspiration	n.土壤水分蒸发蒸腾损失总量
31615	evapotranspire	"vt.使(水)蒸发,使蒸腾"
31616	evase	"adj.<法>(花瓶等)大口的,喇叭口的"
31617	evasion	"n.逃避,借口"
31618	evasive	"adj.逃避的,推托的"
31619	evasively	"adv.推托地,逃避地"
31620	eve	"n.[诗]黄昏,前夕,前日 Eve 伊夫(女子名)"
31621	evection	n.出差
31622	even	"adj.平的,平滑的,偶数的,一致的,平静的,恰好的,平均的,连贯的adv.[加强语气]甚至(...也),连...都,即使,恰好,正当vt.使平坦,使相等vi.变平,相等n.偶数,偶校验"
31623	evenfall	"n.[诗]傍晚,黄昏"
31624	evenhanded	"adj.公平的,公平无私的"
31625	evening	"n.傍晚,晚间,后期,(联欢性的)晚会"
31626	evenings	"adv.每晚,在(任何)晚上"
31627	evenly	"adv.均匀地,平坦地"
31628	evenminded	"adj.沉着的,平静的,镇定的"
31629	evenness	"n.平均,平等,平坦"
31630	evensong	"n.[英圣公会]晚祷,晚课"
31631	event	"n.事件,事变,结果,活动,精力,竞赛"
31632	eventful	"adj.变故多的,重要的,多事的,多事的,充满大事的"
31633	eventide	"n.[古或诗]黄昏,日暮"
31634	eventless	"adj.平静无事的,平静的,平凡的"
31635	eventration	n.腹脏突出
31636	events	n.事件
31637	eventual	"adj.<古>可能的,最后的,结局的,万一的,终于的,"
31638	eventuality	"n.不测的事,可能性,可能发生的事"
31639	eventually	"adv.最后,终于"
31640	eventuate	"vi.<美>结果为,终于发生,发生"
31641	ever	"adv.曾经,永远,不断地,在任何时候,究竟"
31642	everard	n.埃弗拉德(m.)
31643	everbearing	adj.[植]连续不断结果的
31644	everblooming	adj.四季开花的
31645	everdamp	n.艾式转写纸(一种适于长期保存的特制转写纸)[源自商标名]
31646	everdurimg	"adj.永久的,持久的"
31647	everest	n.珠穆朗玛峰(世界最高峰)
31648	everett	n.埃弗雷特(Everard的异体)(m.)
31649	everglade	"n.湿地,沼泽地"
31650	evergreen	"adj.常绿的n.常绿树,常绿植物"
31651	everlasting	"adj.永恒的,持久的,无止境的,耐用的"
31652	evermore	adv.始终
31653	evernormal	n.平常仓贮
31654	eversible	"adj.可外翻的,可翻转的"
31655	eversion	"n.外翻,翻转"
31656	evert	"v.使外翻,翻转"
31657	evertile	adj.=eversible
31658	evertor	n.外转肌
31659	everwhich	 pron.<方>=whichever
31660	everwho	 pron.<方>=whoever
31661	every	"adj.每一的,每个的,全部的,每隔...的"
31662	everybody	"int.每个人,人人"
31663	everyday	"adj.每天的,日常的,平常的,平凡的"
31664	everydayness	n.平淡无奇
31665	everyhow	"adv.在每方面,从各方面"
31666	everyman	"n.普通人,一般人"
31667	everyone	" pron.每个人,人人"
31668	everyplace	"adv.到处,各处"
31669	everything	" pron.每件事物,万事"
31670	everyway	"adv.无论怎样看法,任从那一方面来看"
31671	everywhen	"adv.时常地,时时地"
31672	everywhere	"adv.各处,到处"
31673	everywhither	"adv.至各处,向各方"
31674	everywoman	"n.曲型女人,普通女人"
31675	evict	"v.驱逐,逐出(租户),收回(租屋、租地等)"
31676	evictee	n.被逐出的人
31677	eviction	"n.逐出,赶出"
31678	evictor	n.逐出者
31679	evidence	"n.明显,显著,明白,迹象,根据,[物]证据,证物"
31680	evident	"adj.明显的,显然的"
31681	evidential	"adj.证据的,可作证据的,提供证据的"
31682	evidentiary	"adj.证据的,根据证据的"
31683	evidently	"adv.明显地,显然"
31684	evil	"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的n.邪恶,不幸,罪恶"
31685	evildoer	"n.(尤指经常)为恶者,做坏事的人"
31686	evildoing	"n.恶行,坏事"
31687	evillooking	adj.相貌凶恶的
31688	evilly	adv.邪恶地
31689	evilness	"n.恶的,邪恶的,有害的"
31690	evince	"vt.表明,表示"
31691	evincible	"adj.可表明的,可证明的"
31692	evincive	"adj.证明性的,显示的"
31693	evirate	vt.阉割
31694	eviscerate	"vt.取出内脏,除去精华,除去主要部分vi.凸出"
31695	evisceration	n.取出内脏
31696	evita	n.埃维塔(f.)
31697	evitable	adj.可避免的(=avoidable)
31698	evocable	"adj.唤出的,引起的,唤起的"
31699	evocation	"n.唤出,唤起,招魂"
31700	evocative	"adj.唤出的,唤起的"
31701	evocator	"n.唤起人,招魂者 [生]唤起物,诱发物"
31702	evocatory	adj.=evocative
31703	evoke	"vt.唤起,引起,博得"
31704	evolute	n.[几]渐屈线
31705	evolution	"n.进展,发展,演变,进化"
31706	evolutional	"adj.进化的,进展的"
31707	evolutionary	 进化的
31708	evolutionism	n.进化论adj.进化论的
31709	evolutive	"adj.发展的,进化的,演变的,演化的"
31710	evolve	"v.(使)发展,(使)进展,(使)进化"
